client,content_hash_id,rank_in_client,risk_score,reason_category,avg_position_weighted,ctr,impressions_90d,clicks_90d,days_since_last_update
Client D,content_85caf642afd720a7,9,0.6449831353575584,visible_low_ctr,19.179039301310045,0.0,229.0,0.0,64
Client D,content_16c766715d558e49,10,0.6405204220001248,no_dominant_driver,11.149405772495756,0.011884550084889643,589.0,7.0,64
Client E,content_b483f14a88e2c85f,1,0.778424500962609,visible_low_ctr,5.96969696969697,0.0,66.0,0.0,64
Client E,content_03dad0fd1017cc43,2,0.7624845815733999,visible_low_ctr,5.142857142857143,0.0,21.0,0.0,64
Client E,content_5d8119d578a86c21,3,0.7562401583253061,visible_low_ctr,5.714285714285714,0.0,7.0,0.0,64
Client E,content_d8d678c734b93770,4,0.7498885296104415,visible_low_ctr,3.108108108108108,0.0,37.0,0.0,64
Client E,content_cdb20400128df176,5,0.7405093810771045,visible_low_ctr,5.25,0.0,16.0,0.0,64
Client E,content_d72ec8c2ce99869d,6,0.7357442367040034,visible_low_ctr,3.4,0.0,5.0,0.0,64
Client E,content_27dda4f150b7782c,7,0.7334054365791348,visible_low_ctr,4.708333333333333,0.0,48.0,0.0,64
Client E,content_760402e04477fc87,8,0.7259804648088796,visible_low_ctr,2.125,0.0,8.0,0.0,64
Client E,content_4df2876993ed847f,9,0.7236648915209201,low_ctr,2.3333333333333335,0.0,3.0,0.0,64
Client E,content_3108b75eae888a49,10,0.7193625738759081,visible_low_ctr,3.625,0.0,8.0,0.0,64
Client F,content_393d793af49f81a0,1,0.7482829473911168,low_ctr,8.166666666666666,0.0,6.0,0.0,111
Client F,content_11f05d58490e4c42,2,0.7459794113205721,low_ctr,4.0,0.0,1.0,0.0,111
Client F,content_717c00b9d0745778,3,0.7371480570979133,low_ctr,6.25,0.0,4.0,0.0,111
Client F,content_c4eeed41fe7d19f6,4,0.7365061739400841,low_ctr,3.0,0.0,1.0,0.0,111
Client F,content_292c74cc3201548f,5,0.7326263626311328,low_ctr,13.7,0.0,10.0,0.0,111
Client F,content_6a0cc4df6c72fa7a,6,0.7275623028069501,low_ctr,7.0,0.0,2.0,0.0,111
Client F,content_9bacd063f2fa1288,7,0.7200508717856977,low_ctr,7.0,0.0,1.0,0.0,111
Client F,content_d88840750451c849,8,0.7195966616895587,low_ctr,2.0,0.0,1.0,0.0,37
Client F,content_c219efb101867453,9,0.7194548713767045,low_ctr,7.0,0.0,1.0,0.0,111
Client F,content_79f0859da40d1c36,10,0.7145515464473665,low_ctr,8.75,0.0,4.0,0.0,111
